category,room_count,bathroom_count,size,price,city,region,price_per_m2,log_price,budget_tier,size_tier
5,0.30000000000000004,0.125,0.045454545454545456,0.3173198482932996,0,41,0.14700362817465282,0.7484273486645356,2,2
0,0.1,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
0,0.1,0.25,0.0404040404040404,0.20353982300884954,0,84,0.1054672838733892,0.6533463957925132,2,1
0,0.0,0.125,0.0303030303030303,0.018963337547408345,0,84,0.017890654322532215,0.2165618232443025,0,1
0,0.20000000000000004,0.125,0.055555555555555566,0.34260429835651074,0,66,0.13386713374202427,0.7649788594410643,2,2
5,0.20000000000000004,0.125,0.03535353535353536,0.10745891276864727,0,84,0.06443137745527336,0.520882747241415,1,1
0,0.0,0.125,0.03282828282828283,0.22882427307206066,0,84,0.13899662204428875,0.6782510054656081,2,1
0,0.20000000000000004,0.125,0.055555555555555566,0.018963337547408345,0,5,0.010634305016889778,0.2165618232443025,0,2
0,0.20000000000000004,0.125,0.0303030303030303,0.10240202275600505,0,11,0.0694357562867509,0.511189027534289,1,1
5,0.30000000000000004,0.25,0.16666666666666666,0.4184576485461441,0,5,0.05992743650694358,0.8084459111065281,3,3
5,0.30000000000000004,0.25,0.1414141414141414,0.19089759797724398,0,5,0.032528462404604025,0.6397855006703106,2,3
0,0.0,0.125,0.0101010101010101,0.06447534766118837,0,54,0.09295633679469535,0.4206455604826236,0,0
5,0.1,0.125,0.0404040404040404,0.061946902654867256,0,21,0.03540598023270362,0.413065896669073,0,1
5,0.1,0.125,0.0303030303030303,0.08470290771175726,0,3,0.05855123232828725,0.4733938331442715,1,1
5,0.1,0.125,0.03535353535353536,0.0518331226295828,0,117,0.03390466658326035,0.37996287511601534,0,1
0,0.20000000000000004,0.125,0.045454545454545456,0.18836915297092288,0,84,0.0889528337295133,0.6370011343714552,2,2
0,0.1,0.125,0.0404040404040404,0.08975979772439949,0,117,0.04916802201926686,0.48484067237289885,1,1
1,0.1,0.125,0.03535353535353536,0.2161820480404551,0,41,0.12423370449143,0.6661338558317005,2,1
5,0.20000000000000004,0.125,0.055555555555555566,0.08217446270543616,0,84,0.034780432878768926,0.467464164174487,1,2
0,0.30000000000000004,0.25,0.08080808080808081,0.2920353982300885,0,3,0.08257225071937944,0.7304836547385791,2,2
5,0.5000000000000001,0.375,0.16666666666666666,0.709228824273072,0,3,0.10096334292505943,0.924100237186759,3,3
1,0.20000000000000004,0.125,0.05606060606060606,0.6207332490518331,0,54,0.2378331039659702,0.8947612663710427,3,2
1,0.1,0.125,0.0404040404040404,0.393173198482933,0,54,0.19929938696359314,0.7948850159843253,3,1
0,0.1,0.125,0.02272727272727273,0.14032869785082175,0,3,0.11460027524083573,0.5754872641022999,1,1
0,0.20000000000000004,0.25,0.06565656565656566,0.12768647281921616,0,11,0.04503940948329788,0.5560482623491803,1,2
0,0.20000000000000004,0.125,0.0303030303030303,0.19089759797724398,0,41,0.12423370449143,0.6397855006703106,2,1
0,0.1,0.125,0.020202020202020204,0.1529709228824273,0,41,0.13461779056674592,0.5933793956893887,1,1
